"","Symbol","Date","Open","High","Low","Close","Adj.Close","Volume"
"1979","SPG","2018-01-17",165.720001,167.960007,164.619995,167.399994,165.318176,1699300
"1980","SPG","2018-01-18",167.029999,167.630005,163.75,164.25,162.207352,1947600
"1981","SPG","2018-01-19",164.910004,165.289993,163.029999,164.240005,162.197479,1805200
"1982","SPG","2018-01-22",164.279999,166.830002,164.070007,166.100006,164.034348,1751600
"1983","SPG","2018-01-23",166.929993,169.279999,165.589996,166.330002,164.26149,2864000
"1984","SPG","2018-01-24",166.649994,167.160004,164.770004,166.100006,164.034348,1802200
"1985","SPG","2018-01-25",165.580002,166.229996,162.600006,164.199997,162.157974,1476900
"1986","SPG","2018-01-26",164.850006,165.360001,163.020004,163.710007,161.674072,1574700
"1987","SPG","2018-01-29",163.429993,163.789993,161.830002,162.919998,160.89389,1678600
"1988","SPG","2018-01-30",162.809998,163.470001,161.259995,162.610001,160.587753,2145000
"1989","SPG","2018-01-31",159.970001,163.669998,158.559998,163.369995,161.338287,3259500
"1990","SPG","2018-02-01",163.610001,164.830002,159.300003,159.649994,157.664551,2652400
"1991","SPG","2018-02-02",159.190002,160,155.699997,156.520004,154.573486,3166200
"1992","SPG","2018-02-05",155.679993,159.179993,154.360001,155.119995,153.190887,2678600
"1993","SPG","2018-02-06",154.160004,156.089996,152.130005,155.979996,154.040192,3469700
"1994","SPG","2018-02-07",155.789993,158.5,154.759995,154.860001,152.934128,2055700
"1995","SPG","2018-02-08",154.389999,156.869995,152.139999,152.179993,150.287445,2940100
"1996","SPG","2018-02-09",152.889999,158.470001,151.270004,157.199997,155.245026,3211700
"1997","SPG","2018-02-12",157.330002,157.839996,152.360001,156.800003,154.850006,2338500
"1998","SPG","2018-02-13",154.559998,156.100006,153.5,155.490005,155.490005,1481900
"1999","SPG","2018-02-14",154.660004,155.029999,151.309998,154.089996,154.089996,2092500
"2000","SPG","2018-02-15",154.570007,156.669998,153.860001,156.149994,156.149994,1692400
"2001","SPG","2018-02-16",156.009995,157.539993,155.490005,156.089996,156.089996,1899800
"2002","T","2018-01-17",36.77,36.950001,36.490002,36.849998,36.849998,22050200
"2003","T","2018-01-18",36.84,37.380001,36.810001,37.150002,37.150002,27661100
"2004","T","2018-01-19",37.369999,37.369999,36.939999,37.209999,37.209999,27919800
"2005","T","2018-01-22",37.200001,37.900002,36.98,37.869999,37.869999,31660600
"2006","T","2018-01-23",37.950001,38.220001,37.029999,37.189999,37.189999,33036000
"2007","T","2018-01-24",37.290001,37.389999,36.98,37.02,37.02,28567800
"2008","T","2018-01-25",37.09,37.450001,36.84,37.450001,37.450001,23400300
"2009","T","2018-01-26",37.459999,37.82,37.360001,37.82,37.82,21608500
"2010","T","2018-01-29",37.130001,37.68,36.98,37.259998,37.259998,30879600
"2011","T","2018-01-30",37.360001,37.799999,37.299999,37.439999,37.439999,29883200
